"DINÁMICA","CARACTERIZ","MODALIDAD","DÍA_SEMAN","MES_DEL_HE","FRANJA_HORARIA","ZONA","ESTRATO_GRUPO"
"Hurto","HURTO DE VEHICULOS","HALADO","miércoles","enero","Mañana","Sur","Medio"
"Hurto","HURTO DE MOTOCICLETAS","FACTOR DE OPORTUNIDAD","miércoles","enero","Tarde","Nor-Oriente","Bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","VIOLACION DE CERRADURA","miércoles","enero","Madrugada","Oriente","Medio-bajo"
"Hurto","HURTO A RESIDENCIA","VIOLACION DE CERRADURA","lunes","enero","Madrugada","Nor-Occidente","Bajo"
"Hurto","HURTO A PERSONAS","ENGAÑO","jueves","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ENGAÑO","sábado","enero","Mañana","Nor-Occidente","Medio-alto"
"Hurto","HURTO DE AUTOPARTES","FACTOR DE OPORTUNIDAD","miércoles","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","VIOLACION DE CERRADURA","miércoles","enero","Noche","Nor-Occidente","Medio"
"Hurto","HURTO A PERSONAS","ATRACO","domingo","enero","Mañana","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","VIOLACION DE CERRADURA","sábado","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Madrugada","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","VIOLACION DE CERRADURA","martes","enero","Tarde","Sur","Medio"
"Hurto","HURTO A RESIDENCIA","VIOLACION DE CERRADURA","martes","enero","Noche","Nor-Occidente","Medio-alto"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","sábado","enero","Mañana","Sur","Medio-bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","sábado","enero","Mañana","Sur","Medio-bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","sábado","enero","Mañana","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","miércoles","enero","Madrugada","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A CELULARES","ATRACO","miércoles","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","sábado","enero","Tarde","Oriente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","martes","enero","Mañana","Sur","Bajo"
